date,type,slides,topics,reading,media
17/03/26,הרצאה + פעילות בכיתה,"<a href=""https://drive.google.com/file/d/1Kus56DxdsJSasDy-7tJYUOjHGqOOYNGW/view?usp=sharing"" target=""_blank"">שיעור מבוא</a>",המזרח הקדום בתקופת הברונזה המאוחרת,"מקשיבים ומנתחים את התסכיתים של תערוכת פרעה בכנען;
יש לקרוא בבית את הסיפור האינטראקטיבי <a href=""https://arcg.is/yz1Ke"" target=""_blank"">תולדות האנושות: 3000 השנים הראשונות</a>","תסכיתים מהתערוכה פרעה בכנען (מוזיאון ישראל): <a href=""https://museum.imj.org.il/he/audioguides/pharaoh/page/?id=1"" target=""_blank"">הקדמה</a>, <a href=""https://museum.imj.org.il/he/audioguides/pharaoh/page/?id=2"" target=""_blank"">ציר הזמן</a>, <a href=""https://museum.imj.org.il/he/audioguides/pharaoh/page/?id=3"" target=""_blank"">ההיקסוס</a>, <a href=""https://museum.imj.org.il/he/audioguides/pharaoh/page/?id=4"" target=""_blank"">תחותמס ג׳</a><br>ארכיאולוגיה ניסויית: <a href=""https://youtu.be/rm2ZR25xU8M?si=CfmqPQOnv6r1g2ZW"" target=""_blank"">קרב עם שיריון מיקני מברונזה</a>"
24/03/26,פעילות בבית,"<a href=""assignments/lightning-talk.qmd"" target=""_blank"">הנחיות למצגות בזק</a>",הכנה של הרצאת בזק,"יש לבחור מאמר מתוך <a href=""literature.qmd"" target=""_blank"">בבליוגרפיה ומקורות</a> או מ<a href=""https://docs.google.com/document/d/1_yKGevm2aBnB1wE-PknQB6s00cZpaGKLG3rpM6wltig/edit?usp=sharing"" target=""_blank"">הסילבוס</a> (הרשימות זהות) ולנתח לצורך הכנה של הרצאת בזק לשיעור הבא. נא לקרוא בתשומת לב את <a href=""assignments/lightning-talk.qmd"" target=""_blank"">ההנחיות</a>.","סרטונים עם עצות להרצאות בזק מוצלחות:<br><a href=""https://youtu.be/BWMqoAYzWOk?si=UrneySl7wIMNFCxV"" target=""_blank"">איך לתת הרצאת טד?</a><br><a href=""https://youtu.be/SxfWDm19NGw?si=6wDG9dEGg-v9O_U8"" target=""_blank"">איך ליצור רושם ראשוני?</a><br><a href=""https://youtu.be/-FOCpMAww28?si=hie5jlW1roJceJvi"" target=""_blank"">הסוד להרצאת טד מוצלחת</a>"
14/04/26,הרצאה + פעילות בכיתה,"<a href=""https://drive.google.com/file/d/11YbOs6H_vLBkEe9et1_LuevIUbXc-JsJ/view?usp=sharing"" target=""_blank"">האימפריה המצרית בכנען</a>",השלטון המצרי בכנען כפי שהוא משתקף בעיקר בתעודות אל-עמארנה,"<a href=""https://drive.google.com/file/d/1JGE7NJo5lzDl4XfkHsXJEKPXkbk9Uy4y/view?usp=sharing"" target=""_blank"">בונימוביץ׳ 2019</a>: נא לקרוא <strong>לפני השיעור</strong> <strong>רק</strong> את עמ׳ 7–32; בכיתה <a href=""https://forms.gle/xw9BZCYybySKKuDn6"" target=""_blank"">נשאל שאלות על המאמר</a> ונקשיב לתסכיתים של תערוכת פרעה בכנען","תסכיתים מהתערוכה פרעה בכנען (מוזיאון ישראל): <a href=""https://museum.imj.org.il/he/audioguides/pharaoh/page/?id=6"" target=""_blank"">אמנות אל-עמארנה</a>, <a href=""https://museum.imj.org.il/he/audioguides/pharaoh/page/?id=8"" target=""_blank"">האסטלה של סתי הראשון</a>, <a href=""https://museum.imj.org.il/he/audioguides/pharaoh/page/?id=20"" target=""_blank"">איגרת ממושל ירושלים</a>, <a href=""https://museum.imj.org.il/he/audioguides/pharaoh/page/?id=21"" target=""_blank"">איגרת ממלך מצרים</a>"
28/04/26,פעילות בכיתה,הצגות בזק תלמידים,הרצאות בזק (7 דקות) של תלמידים על מאמר לעבודת קורס,על התלמידים להקשיב היטב להרצאות כי הם יהיו אלו <strong>שיבקרו את חבריהם לכיתה</strong>,"דוגמאות להרצאות בזק טובות להתרשמותכם <a href=""https://www.youtube.com/@PechaKuchaTLV"" target=""_blank"">בערוץ פצ׳ה קוצ׳ה תל אביב ביוטיוב</a>"
