date,type,slides,topics,reading,media
05/05/26,הרצאה + פעילות בכיתה,"<a href=""https://docs.google.com/presentation/d/1eYb5jkUClA2yMHGETyEtVCjoJHUNgPQOkp4yGPJ2IvM/edit?usp=sharing"" target=""_blank"">עבודת מחקר בעידן הבינה המלאכותית</a>",איך כותבים עבודה לקורס,"פעילות בכיתה עם בינה מלאכותית (GPT, Claude, וחבריהם)","<a href=""https://youtu.be/w-GiUY-DcJY?si=O7AdZiWkUlgUNScn"" target=""_blank"">הנדסת פרומפטים לצרכי מחקר עם GPT</a>"
12/05/26,הרצאה + פעילות בכיתה,"<a href=""https://drive.google.com/file/d/1nJYpenAGhK04W4NmbBC09T8brS9pAjOU/view?usp=sharing"" target=""_blank"">עדויות לראשית ישראל – ארכיאולוגיה</a>",העדויות הארכיאולוגיות השונות לראשית ההתיישבות הישראלית בכנען,"<a href=""https://drive.google.com/file/d/1Tagn_EqJbPSfvhwf3GDq3issl3rIJRxq/view?usp=sharing"" target=""_blank"">Ilan 2018</a>: נא <strong>לקרוא לפני השיעור</strong>; בכיתה <a href=""https://forms.gle/fGLTPDiXA73mJPCn9"" target=""_blank"">נשאל שאלות על המאמר</a> ונצפה בקטעים נבחרים מתוך הסרטון על <a href=""https://youtu.be/rXMsWFpH83o"" target=""_blank"">כיבוש הארץ</a>","<a href=""https://youtu.be/rXMsWFpH83o"" target=""_blank"">כיבוש הארץ (ע״פ ישראל פינקלשטיין)</a>"
19/05/26,פעילות בבית,"<a href=""assignments/midterm.qmd"" target=""_blank"">תרגיל בית (שאלות)</a>",סיכום נושא עדויות ארכיאולוגיות והיסטוריות לראשית ישראל,10 שאלות לענות בבית <strong>עד 26/05 בחצות</strong> (שימו לב – לא ניתן יהיה לענות על השאלות לאחר מכן),
02/06/26,הרצאה + פעילות בכיתה,"<a href=""https://drive.google.com/file/d/1nJYpenAGhK04W4NmbBC09T8brS9pAjOU/view?usp=sharing"" target=""_blank"">רמות ההר בראשית תקופת הברזל</a>",המעבר מתקופת הברונזה לתקופת הברזל בהר המרכזי – היסטוריה של המחקר וסקרים,"<a href=""https://drive.google.com/file/d/1702FXwvz8jBEX5R58cwcXEIsogcnssOh/view?usp=sharing"" target=""_blank"">Faust 2006</a>: מומלץ לקרוא לפני השיעור; נשתמש במודל שפה גדול להוציא מידע מהמאמר ולסדרו כמסד נתונים","<a href=""/data/israel-archaeology-evidence.csv"" target=""_blank"">תוצאות הניתוח הראשוני של המאמר בטבלה</a>"
